epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,595.691,0.8607,0.60773,1.05996,0.99238,1,0.995,0.75652,0.90461,0.40923,1.019,0.00104458,0.00104458,0.00104458
85,602.542,0.89137,0.62255,1.07414,0.9938,1,0.995,0.75872,0.89358,0.40929,1.01859,0.0010421,0.0010421,0.0010421
86,609.834,0.86821,0.6229,1.04703,0.98926,0.99811,0.995,0.75924,0.90053,0.43038,0.99436,0.00103962,0.00103962,0.00103962
87,616.397,0.85333,0.59973,1.03529,0.94816,0.93269,0.97003,0.74323,0.90312,0.51743,0.99183,0.00103715,0.00103715,0.00103715
88,623.546,0.87743,0.56284,1.034,0.94849,0.92835,0.96015,0.73612,0.90327,0.51757,0.99288,0.00103468,0.00103468,0.00103468
89,630.947,0.88381,0.60349,1.04896,0.95731,0.97103,0.98172,0.76875,0.83172,0.44031,0.9706,0.0010322,0.0010322,0.0010322
90,637.795,0.89054,0.62786,1.08625,0.95816,0.95912,0.97892,0.76408,0.85667,0.45476,0.97308,0.00102972,0.00102972,0.00102972
91,645.673,0.91244,0.59101,1.05624,0.9923,0.98921,0.99359,0.76404,0.90588,0.4358,0.98434,0.00102725,0.00102725,0.00102725
92,653.285,0.84811,0.55972,1.04253,0.99516,0.99831,0.995,0.75695,0.92135,0.41826,1.00092,0.00102478,0.00102478,0.00102478
93,660.069,0.84544,0.59342,1.05225,0.99585,1,0.995,0.74596,0.94818,0.41292,1.01311,0.0010223,0.0010223,0.0010223
94,667.382,0.83622,0.56536,1.04089,0.99503,1,0.995,0.79063,0.85747,0.38859,0.97766,0.00101983,0.00101983,0.00101983
95,674.049,0.8953,0.64934,1.08984,0.99259,0.99792,0.995,0.79105,0.84732,0.40511,0.96817,0.00101735,0.00101735,0.00101735
96,680.635,0.85866,0.58127,1.05578,0.99199,0.99235,0.995,0.78439,0.83281,0.42645,0.96997,0.00101488,0.00101488,0.00101488
97,687.514,0.86868,0.61653,1.07379,0.97721,0.99038,0.99341,0.78787,0.80425,0.42075,0.96162,0.0010124,0.0010124,0.0010124
98,694.143,0.86399,0.60029,1.05347,0.99519,0.95887,0.98896,0.77297,0.82149,0.42261,0.96812,0.00100993,0.00100993,0.00100993
99,701.331,0.867,0.61278,1.07465,0.99238,0.99263,0.995,0.78683,0.82376,0.42238,0.97328,0.00100745,0.00100745,0.00100745
100,708.103,0.80445,0.59142,1.02896,0.99591,0.99764,0.995,0.77431,0.84463,0.4052,0.98897,0.00100497,0.00100497,0.00100497
101,715.017,0.87057,0.58438,1.05677,0.99676,0.99834,0.995,0.77357,0.84612,0.41037,0.99465,0.0010025,0.0010025,0.0010025
102,722.14,0.87682,0.60369,1.06456,0.95871,0.9575,0.98249,0.76893,0.85663,0.51809,1.0013,0.00100003,0.00100003,0.00100003
103,729.749,0.85467,0.55201,1.03777,0.97041,0.97116,0.98772,0.78425,0.83639,0.49974,0.98193,0.00099755,0.00099755,0.00099755
104,736.59,0.88311,0.63448,1.0559,0.99433,0.98002,0.99413,0.78884,0.80204,0.45963,0.96585,0.000995075,0.000995075,0.000995075
105,743.308,0.87166,0.59956,1.05547,0.99438,0.99132,0.995,0.75653,0.92542,0.44013,1.01071,0.0009926,0.0009926,0.0009926
106,749.632,0.84941,0.56407,1.03487,0.99194,0.99374,0.995,0.7866,0.87137,0.419,0.98756,0.000990125,0.000990125,0.000990125
107,756.376,0.84837,0.60262,1.05921,0.98994,0.97884,0.99422,0.79301,0.78277,0.41381,0.96249,0.00098765,0.00098765,0.00098765
108,762.999,0.7869,0.52821,1.01882,0.96407,0.99603,0.9937,0.78257,0.81942,0.40127,0.97599,0.000985175,0.000985175,0.000985175
109,769.83,0.85088,0.54702,1.04032,0.97419,1,0.99435,0.79268,0.80278,0.38653,0.97034,0.0009827,0.0009827,0.0009827
110,776.571,0.8251,0.55376,1.03344,0.99546,1,0.995,0.80647,0.80085,0.37631,0.95403,0.000980225,0.000980225,0.000980225
111,783.164,0.79196,0.50686,1.00461,0.99627,1,0.995,0.81812,0.7455,0.35374,0.94023,0.00097775,0.00097775,0.00097775
112,790.184,0.79333,0.57362,1.03036,0.99191,1,0.995,0.79243,0.7863,0.37334,0.95446,0.000975275,0.000975275,0.000975275
113,796.995,0.83187,0.54601,1.02122,0.99162,0.99565,0.995,0.78528,0.86228,0.40608,0.99429,0.0009728,0.0009728,0.0009728
114,803.501,0.80679,0.56634,1.04315,0.98397,1,0.99398,0.77852,0.8738,0.40772,0.98835,0.000970325,0.000970325,0.000970325
115,810.391,0.8222,0.55774,1.03873,0.98225,1,0.99324,0.79517,0.81221,0.43299,0.96571,0.00096785,0.00096785,0.00096785
116,817.028,0.80873,0.55629,1.03607,0.98887,0.98924,0.99472,0.79979,0.7929,0.39918,0.95584,0.000965375,0.000965375,0.000965375
117,823.63,0.80416,0.52756,1.00913,0.9898,1,0.995,0.80867,0.79467,0.37458,0.94839,0.0009629,0.0009629,0.0009629
118,830.849,0.79674,0.56577,1.02997,0.98626,0.99845,0.995,0.80282,0.7388,0.36503,0.92828,0.000960425,0.000960425,0.000960425
119,837.669,0.79771,0.52076,1.01407,0.9895,0.99745,0.995,0.80847,0.74773,0.38625,0.92982,0.00095795,0.00095795,0.00095795
120,844.319,0.81334,0.56355,1.03794,0.99194,0.99802,0.995,0.82307,0.75258,0.37733,0.93212,0.000955475,0.000955475,0.000955475
121,851.353,0.75014,0.50053,0.99447,0.99647,0.9939,0.995,0.81417,0.75239,0.35982,0.9291,0.000953,0.000953,0.000953
122,858.06,0.78365,0.51697,1.00551,0.99535,0.99757,0.995,0.81739,0.76514,0.37449,0.92919,0.000950525,0.000950525,0.000950525
123,865.109,0.79558,0.52555,1.01919,0.99339,1,0.995,0.80933,0.77886,0.38756,0.94224,0.00094805,0.00094805,0.00094805
124,872.597,0.75607,0.53881,1.00477,0.99,0.98864,0.99457,0.81683,0.76306,0.40981,0.94053,0.000945575,0.000945575,0.000945575
125,879.458,0.79843,0.52191,1.02301,0.97241,0.99449,0.99359,0.81293,0.76209,0.4159,0.93802,0.0009431,0.0009431,0.0009431
126,886.369,0.77759,0.51891,1.00214,0.98514,1,0.995,0.80829,0.74374,0.41594,0.9357,0.000940625,0.000940625,0.000940625
127,893.879,0.80753,0.49932,1.01478,0.98807,0.9976,0.995,0.84022,0.6928,0.37998,0.909,0.00093815,0.00093815,0.00093815
128,901.554,0.75742,0.52994,0.98903,0.99082,0.99811,0.995,0.84412,0.67126,0.36561,0.89984,0.000935675,0.000935675,0.000935675
129,908.869,0.75419,0.50423,0.99792,0.98978,0.97851,0.99435,0.8408,0.69627,0.36911,0.90926,0.0009332,0.0009332,0.0009332
