epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,930.624,0.86787,0.62095,1.03333,0.97001,0.98875,0.99089,0.76843,0.85995,0.4714,1.04436,0.00089855,0.00089855,0.00089855
144,937.223,0.86279,0.6144,1.03603,0.9827,0.98368,0.99303,0.77099,0.82756,0.44285,1.03454,0.000896075,0.000896075,0.000896075
145,944.084,0.85979,0.6515,1.06907,0.98738,0.98205,0.99376,0.77942,0.81125,0.45365,1.04057,0.0008936,0.0008936,0.0008936
146,950.655,0.89337,0.63249,1.08698,0.96932,0.9808,0.99165,0.78016,0.81448,0.47952,1.03927,0.000891125,0.000891125,0.000891125
147,956.932,0.85803,0.60675,1.03924,0.96932,0.9808,0.99165,0.78016,0.81448,0.47952,1.03927,0.00088865,0.00088865,0.00088865
148,963.324,0.8418,0.5841,1.02879,0.96677,0.97694,0.98603,0.78637,0.78276,0.49089,1.0179,0.000886175,0.000886175,0.000886175
149,969.703,0.8921,0.65367,1.07317,0.96181,0.97673,0.98906,0.79163,0.77626,0.48418,1.01595,0.0008837,0.0008837,0.0008837
150,976.353,0.83076,0.56973,1.02489,0.9767,0.97471,0.9933,0.80796,0.72625,0.47485,1.00606,0.000881225,0.000881225,0.000881225
151,982.599,0.85617,0.60213,1.06509,0.97843,0.98374,0.99327,0.80094,0.76131,0.47884,1.03737,0.00087875,0.00087875,0.00087875
152,989.107,0.87924,0.58687,1.09522,0.97843,0.98374,0.99327,0.80094,0.76131,0.47884,1.03737,0.000876275,0.000876275,0.000876275
153,995.955,0.81225,0.60938,1.04736,0.98579,0.985,0.99309,0.80397,0.76369,0.45766,1.03811,0.0008738,0.0008738,0.0008738
154,1002.41,0.85347,0.61716,1.0316,0.98156,0.99373,0.993,0.79385,0.77461,0.43651,1.01425,0.000871325,0.000871325,0.000871325
155,1008.99,0.87599,0.60992,1.05574,0.97915,0.9664,0.99018,0.78097,0.80753,0.44561,1.01751,0.00086885,0.00086885,0.00086885
156,1015.46,0.84393,0.56878,1.02173,0.97915,0.9664,0.99018,0.78097,0.80753,0.44561,1.01751,0.000866375,0.000866375,0.000866375
157,1021.98,0.81412,0.53824,1.02186,0.9807,0.96504,0.98698,0.76186,0.84254,0.46972,1.0414,0.0008639,0.0008639,0.0008639
158,1028.67,0.83179,0.5915,1.05008,0.97994,0.96527,0.99041,0.76706,0.86689,0.45638,1.05688,0.000861425,0.000861425,0.000861425
159,1035.09,0.86536,0.63833,1.05274,0.97153,0.98844,0.99337,0.79541,0.79068,0.43676,1.01325,0.00085895,0.00085895,0.00085895
160,1041.3,0.87946,0.63167,1.07007,0.97153,0.98844,0.99337,0.79541,0.79068,0.43676,1.01325,0.000856475,0.000856475,0.000856475
161,1047.53,0.87374,0.63611,1.09583,0.98538,0.96268,0.99023,0.77297,0.8215,0.45799,1.03621,0.000854,0.000854,0.000854
162,1053.89,0.86281,0.64884,1.068,0.96603,0.96313,0.98607,0.76343,0.77533,0.46485,1.00587,0.000851525,0.000851525,0.000851525
163,1060.53,0.827,0.56651,1.02878,0.95606,0.99099,0.97663,0.78304,0.72038,0.442,0.98342,0.00084905,0.00084905,0.00084905
164,1067.14,0.83365,0.61769,1.03262,0.96381,0.99363,0.98691,0.80842,0.69751,0.43526,0.98003,0.000846575,0.000846575,0.000846575
165,1073.91,0.78575,0.55429,0.99745,0.96381,0.99363,0.98691,0.80842,0.69751,0.43526,0.98003,0.0008441,0.0008441,0.0008441
166,1080.91,0.8191,0.56805,1.05333,0.99003,0.98297,0.99451,0.81441,0.69842,0.4154,0.98863,0.000841625,0.000841625,0.000841625
167,1086.99,0.85928,0.65891,1.07993,0.98928,0.98311,0.99457,0.82603,0.67901,0.40858,0.97571,0.00083915,0.00083915,0.00083915
168,1093.26,0.79674,0.57113,1.05993,0.98944,0.98218,0.9946,0.82782,0.66326,0.40772,0.97017,0.000836675,0.000836675,0.000836675
169,1099.46,0.7943,0.53136,1.04419,0.98944,0.98218,0.9946,0.82782,0.66326,0.40772,0.97017,0.0008342,0.0008342,0.0008342
170,1105.95,0.76809,0.54341,1.00147,0.98237,0.98353,0.99315,0.81684,0.68036,0.41544,0.97254,0.000831725,0.000831725,0.000831725
171,1112.6,0.80771,0.56302,1.02486,0.98947,0.98455,0.99345,0.80638,0.74139,0.42502,0.98738,0.00082925,0.00082925,0.00082925
172,1118.62,0.82504,0.53501,1.02644,0.99396,0.98197,0.99358,0.82027,0.69789,0.41283,0.97218,0.000826775,0.000826775,0.000826775
173,1125.18,0.81758,0.56185,1.00977,0.99396,0.98197,0.99358,0.82027,0.69789,0.41283,0.97218,0.0008243,0.0008243,0.0008243
174,1131.94,0.8185,0.57223,1.04113,0.99178,0.98086,0.99452,0.82343,0.69371,0.41552,0.96919,0.000821825,0.000821825,0.000821825
175,1138.09,0.79528,0.51014,1.00804,0.97911,0.99212,0.99049,0.8113,0.71641,0.41785,0.98038,0.00081935,0.00081935,0.00081935
176,1145.15,0.81018,0.54972,1.02423,0.98449,0.99167,0.98994,0.82237,0.68734,0.43461,0.96782,0.000816875,0.000816875,0.000816875
177,1151.54,0.77974,0.55971,0.9767,0.98707,0.98731,0.98839,0.78534,0.80009,0.44216,1.02498,0.0008144,0.0008144,0.0008144
178,1158.24,0.80308,0.57798,1.02327,0.98707,0.98731,0.98839,0.78534,0.80009,0.44216,1.02498,0.000811925,0.000811925,0.000811925
179,1164.36,0.77399,0.52794,0.99874,0.98347,0.98632,0.98843,0.77985,0.82209,0.43731,1.02937,0.00080945,0.00080945,0.00080945
180,1170.82,0.75286,0.54237,1.01906,0.9674,0.99531,0.98991,0.81812,0.67565,0.44519,0.95674,0.000806975,0.000806975,0.000806975
